observed Discharge Funudsbach from TIWAG gauge and H-Loggers [m3/s]
YYYY	MM	DD	HH	1595	1935	2012	2021
YYYY	MM	DD	HH	221847.733	219661.222	218687.432	218296.567
YYYY	MM	DD	HH	42720.77	42183.67	42391.33	42459.4
YYYY	MM	DD	HH	Fundus 1989	Fundus A	Fundus B	Fundus C
2013	1	5	10	0.131	-9999	-9999	-9999
2013	1	5	11	0.129	-9999	-9999	-9999
2013	1	5	12	0.131	-9999	-9999	-9999
2013	1	5	13	0.133	-9999	-9999	-9999
2013	1	5	14	0.135	-9999	-9999	-9999
2013	1	5	15	0.134	-9999	-9999	-9999
2013	1	5	16	0.134	-9999	-9999	-9999
2013	1	5	17	0.134	-9999	-9999	-9999
2013	1	5	18	0.136	-9999	-9999	-9999
2013	1	5	19	0.134	-9999	-9999	-9999
2013	1	5	20	0.133	-9999	-9999	-9999
2013	1	5	21	0.132	-9999	-9999	-9999
2013	1	5	22	0.131	-9999	-9999	-9999
2013	1	5	23	0.129	-9999	-9999	-9999
2013	1	6	0	0.126	-9999	-9999	-9999
2013	1	6	1	0.125	-9999	-9999	-9999
2013	1	6	2	0.125	-9999	-9999	-9999
2013	1	6	3	0.125	-9999	-9999	-9999
2013	1	6	4	0.125	-9999	-9999	-9999
2013	1	6	5	0.125	-9999	-9999	-9999
2013	1	6	6	0.125	-9999	-9999	-9999
2013	1	6	7	0.125	-9999	-9999	-9999
2013	1	6	8	0.125	-9999	-9999	-9999
2013	1	6	9	0.124	-9999	-9999	-9999
2013	1	6	10	0.124	-9999	-9999	-9999
2013	1	6	11	0.124	-9999	-9999	-9999
2013	1	6	12	0.124	-9999	-9999	-9999
2013	1	6	13	0.124	-9999	-9999	-9999
2013	1	6	14	0.124	-9999	-9999	-9999
2013	1	6	15	0.124	-9999	-9999	-9999
2013	1	6	16	0.125	-9999	-9999	-9999
2013	1	6	17	0.125	-9999	-9999	-9999
2013	1	6	18	0.125	-9999	-9999	-9999
2013	1	6	19	0.124	-9999	-9999	-9999
2013	1	6	20	0.124	-9999	-9999	-9999
2013	1	6	21	0.125	-9999	-9999	-9999
2013	1	6	22	0.125	-9999	-9999	-9999
2013	1	6	23	0.124	-9999	-9999	-9999
2013	1	7	0	0.122	-9999	-9999	-9999
2013	1	7	1	0.122	-9999	-9999	-9999
2013	1	7	2	0.122	-9999	-9999	-9999
2013	1	7	3	0.122	-9999	-9999	-9999
2013	1	7	4	0.122	-9999	-9999	-9999
2013	1	7	5	0.122	-9999	-9999	-9999
2013	1	7	6	0.122	-9999	-9999	-9999
2013	1	7	7	0.122	-9999	-9999	-9999
2013	1	7	8	0.122	-9999	-9999	-9999
2013	1	7	9	0.122	-9999	-9999	-9999
2013	1	7	10	0.122	-9999	-9999	-9999
2013	1	7	11	0.122	-9999	-9999	-9999
2013	1	7	12	0.122	-9999	-9999	-9999
2013	1	7	13	0.122	-9999	-9999	-9999
2013	1	7	14	0.122	-9999	-9999	-9999
2013	1	7	15	0.122	-9999	-9999	-9999
2013	1	7	16	0.122	-9999	-9999	-9999
2013	1	7	17	0.122	-9999	-9999	-9999
2013	1	7	18	0.122	-9999	-9999	-9999
2013	1	7	19	0.122	-9999	-9999	-9999
2013	1	7	20	0.122	-9999	-9999	-9999
2013	1	7	21	0.122	-9999	-9999	-9999
2013	1	7	22	0.122	-9999	-9999	-9999
2013	1	7	23	0.121	-9999	-9999	-9999
2013	1	8	0	0.121	-9999	-9999	-9999
2013	1	8	1	0.122	-9999	-9999	-9999
2013	1	8	2	0.121	-9999	-9999	-9999
2013	1	8	3	0.121	-9999	-9999	-9999
2013	1	8	4	0.121	-9999	-9999	-9999
2013	1	8	5	0.122	-9999	-9999	-9999
2013	1	8	6	0.122	-9999	-9999	-9999
2013	1	8	7	0.121	-9999	-9999	-9999
2013	1	8	8	0.122	-9999	-9999	-9999
2013	1	8	9	0.121	-9999	-9999	-9999
2013	1	8	10	0.122	-9999	-9999	-9999
2013	1	8	11	0.121	-9999	-9999	-9999
2013	1	8	12	0.122	-9999	-9999	-9999
2013	1	8	13	0.122	-9999	-9999	-9999
2013	1	8	14	0.122	-9999	-9999	-9999
2013	1	8	15	0.122	-9999	-9999	-9999
2013	1	8	16	0.122	-9999	-9999	-9999
2013	1	8	17	0.122	-9999	-9999	-9999
2013	1	8	18	0.122	-9999	-9999	-9999
2013	1	8	19	0.122	-9999	-9999	-9999
2013	1	8	20	0.121	-9999	-9999	-9999
2013	1	8	21	0.122	-9999	-9999	-9999
2013	1	8	22	0.122	-9999	-9999	-9999
2013	1	8	23	0.121	-9999	-9999	-9999
2013	1	9	0	0.121	-9999	-9999	-9999
2013	1	9	1	0.12	-9999	-9999	-9999
2013	1	9	2	0.121	-9999	-9999	-9999
2013	1	9	3	0.121	-9999	-9999	-9999
2013	1	9	4	0.121	-9999	-9999	-9999
2013	1	9	5	0.12	-9999	-9999	-9999
2013	1	9	6	0.12	-9999	-9999	-9999
2013	1	9	7	0.12	-9999	-9999	-9999
2013	1	9	8	0.12	-9999	-9999	-9999
2013	1	9	9	0.12	-9999	-9999	-9999
2013	1	9	10	0.12	-9999	-9999	-9999
2013	1	9	11	0.12	-9999	-9999	-9999
2013	1	9	12	0.12	-9999	-9999	-9999
2013	1	9	13	0.12	-9999	-9999	-9999
2013	1	9	14	0.12	-9999	-9999	-9999
2013	1	9	15	0.121	-9999	-9999	-9999
2013	1	9	16	0.12	-9999	-9999	-9999
2013	1	9	17	0.12	-9999	-9999	-9999
2013	1	9	18	0.12	-9999	-9999	-9999
2013	1	9	19	0.121	-9999	-9999	-9999
2013	1	9	20	0.12	-9999	-9999	-9999
2013	1	9	21	0.121	-9999	-9999	-9999
2013	1	9	22	0.121	-9999	-9999	-9999
2013	1	9	23	0.12	-9999	-9999	-9999
2013	1	10	0	0.12	-9999	-9999	-9999
2013	1	10	1	0.121	-9999	-9999	-9999
2013	1	10	2	0.121	-9999	-9999	-9999
2013	1	10	3	0.121	-9999	-9999	-9999
2013	1	10	4	0.121	-9999	-9999	-9999
2013	1	10	5	0.12	-9999	-9999	-9999
2013	1	10	6	0.12	-9999	-9999	-9999
2013	1	10	7	0.12	-9999	-9999	-9999
2013	1	10	8	0.12	-9999	-9999	-9999
2013	1	10	9	0.12	-9999	-9999	-9999
2013	1	10	10	0.121	-9999	-9999	-9999
2013	1	10	11	0.12	-9999	-9999	-9999
2013	1	10	12	0.121	-9999	-9999	-9999
2013	1	10	13	0.121	-9999	-9999	-9999
2013	1	10	14	0.121	-9999	-9999	-9999
2013	1	10	15	0.121	-9999	-9999	-9999
2013	1	10	16	0.12	-9999	-9999	-9999
2013	1	10	17	0.121	-9999	-9999	-9999
2013	1	10	18	0.121	-9999	-9999	-9999
2013	1	10	19	0.121	-9999	-9999	-9999
2013	1	10	20	0.12	-9999	-9999	-9999
2013	1	10	21	0.119	-9999	-9999	-9999
2013	1	10	22	0.119	-9999	-9999	-9999
2013	1	10	23	0.118	-9999	-9999	-9999
2013	1	11	0	0.119	-9999	-9999	-9999
