mean daily discharge [m/s]
YYYY	MM	DD	HH	1598.2
YYYY	MM	DD	HH	221847.733
YYYY	MM	DD	HH	42720.77
YYYY	MM	DD	HH	Fundus_1989
2013	7	28	0	-9999
2013	7	29	0	-9999
2013	7	30	0	-9999
2013	7	31	0	-9999
2013	8	1	0	-9999
2013	8	2	0	-9999
2013	8	3	0	-9999
2013	8	4	0	-9999
2013	8	5	0	-9999
2013	8	6	0	-9999
2013	8	7	0	-9999
2013	8	8	0	-9999
2013	8	9	0	-9999
2013	8	10	0	-9999
2013	8	11	0	-9999
2013	8	12	0	-9999
2013	8	13	0	-9999
2013	8	14	0	-9999
2013	8	15	0	-9999
2013	8	16	0	-9999
2013	8	17	0	-9999
2013	8	18	0	-9999
2013	8	19	0	-9999
2013	8	20	0	-9999
2013	8	21	0	-9999
2013	8	22	0	-9999
2013	8	23	0	-9999
2013	8	24	0	-9999
2013	8	25	0	-9999
2013	8	26	0	-9999
2013	8	27	0	-9999
2013	8	28	0	-9999
2013	8	29	0	-9999
2013	8	30	0	-9999
2013	8	31	0	-9999
2013	9	1	0	-9999
2013	9	2	0	-9999
2013	9	3	0	-9999
2013	9	4	0	-9999
2013	9	5	0	-9999
2013	9	6	0	-9999
2013	9	7	0	-9999
2013	9	8	0	-9999
2013	9	9	0	-9999
2013	9	10	0	-9999
2013	9	11	0	-9999
2013	9	12	0	-9999
2013	9	13	0	-9999
2013	9	14	0	-9999
2013	9	15	0	-9999
2013	9	16	0	-9999
2013	9	17	0	-9999
2013	9	18	0	-9999
2013	9	19	0	-9999
2013	9	20	0	-9999
2013	9	21	0	-9999
2013	9	22	0	-9999
2013	9	23	0	-9999
2013	9	24	0	-9999
2013	9	25	0	-9999
2013	9	26	0	-9999
2013	9	27	0	-9999
2013	9	28	0	-9999
2013	9	29	0	-9999
2013	9	30	0	-9999
2013	10	1	0	-9999
2013	10	2	0	-9999
2013	10	3	0	-9999
2013	10	4	0	-9999
2013	10	5	0	-9999
2013	10	6	0	-9999
2013	10	7	0	-9999
2013	10	8	0	-9999
2013	10	9	0	-9999
2013	10	10	0	-9999
2013	10	11	0	-9999
2013	10	12	0	-9999
2013	10	13	0	-9999
2013	10	14	0	-9999
2013	10	15	0	-9999
2013	10	16	0	-9999
2013	10	17	0	-9999
2013	10	18	0	-9999
2013	10	19	0	-9999
2013	10	20	0	-9999
2013	10	21	0	-9999
2013	10	22	0	-9999
2013	10	23	0	-9999
2013	10	24	0	-9999
2013	10	25	0	-9999
2013	10	26	0	-9999
2013	10	27	0	-9999
2013	10	28	0	-9999
2013	10	29	0	-9999
2013	10	30	0	-9999
2013	10	31	0	-9999
2013	11	1	0	-9999
2013	11	2	0	-9999
2013	11	3	0	-9999
2013	11	4	0	-9999
2013	11	5	0	-9999
2013	11	6	0	-9999
2013	11	7	0	-9999
2013	11	8	0	-9999
2013	11	9	0	-9999
